time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-09-10T00:35:15.910Z,15.467,-46.663,9.87,5.2,mwb,,58,12.711,1.22,us,usb000jmx1,2014-09-04T18:00:37.000Z,Northern Mid-Atlantic Ridge,earthquake
2013-09-10T00:50:55.400Z,14.097,-92.029,24.2,4,md,,,,0.72,us,usb000k69m,2013-11-19T17:37:11.000Z,"25km SSW of Champerico, Guatemala",earthquake
2013-09-10T00:58:52.000Z,-37.181,-72.475,49.4,4,mb,,,,1.42,us,usb000jmx8,2013-11-19T17:37:24.354Z,"13km SE of Yumbel, Chile",earthquake
2013-09-10T01:12:40.290Z,1.4292,122.2569,35.17,5.2,mwb,,42,2.507,1.37,us,usb000jmxb,2014-09-04T18:00:38.000Z,"83km ENE of Bunobogu, Indonesia",earthquake
